deck_name,average_skill,highest_skill,total_top_8,total_top_16,total_top_32,total_top_64,frequency_top_8,frequency_top_16,frequency_top_32,frequency_top_64,representation_top_8,representation_top_16,representation_top_32,representation_top_64
Dromai,-0.019939130434782605,1.92,245650,232947,465679,895915,2.4565,2.32947,4.65679,8.95915,0.3070625,0.145591875,0.1455246875,0.13998671875
Dash,-0.08270967741935484,1.944,124757,118161,236907,456584,1.24757,1.18161,2.36907,4.56584,0.15594625,0.073850625,0.0740334375,0.07134125
Katsu,0.038019230769230764,2.553,104427,96492,189334,363605,1.04427,0.96492,1.89334,3.63605,0.13053375,0.0603075,0.059166875,0.05681328125
Bravo,-0.04643478260869564,1.865,84654,82049,163715,320747,0.84654,0.82049,1.63715,3.20747,0.1058175,0.051280625,0.0511609375,0.05011671875
Fai,0.09616666666666666,1.83,64843,68684,136589,282151,0.64843,0.68684,1.36589,2.82151,0.08105375,0.0429275,0.0426840625,0.04408609375
Iyslander,-0.0305217391304348,1.887,52837,60388,120004,254943,0.52837,0.60388,1.20004,2.54943,0.06604625,0.0377425,0.03750125,0.03983484375
Rhinar,-0.21596296296296294,2.01,45911,43895,88896,173738,0.45911,0.43895,0.88896,1.73738,0.05738875,0.027434375,0.02778,0.0271465625
Azalea,0.057702702702702696,2.308,30416,35775,73393,161765,0.30416,0.35775,0.73393,1.61765,0.03802,0.022359375,0.0229353125,0.02527578125
Dorinthea,-0.037499999999999985,1.854,18222,22740,44724,99458,0.18222,0.2274,0.44724,0.99458,0.0227775,0.0142125,0.01397625,0.0155403125
Uzuri,0.11357894736842104,2.553,17567,24934,52158,125106,0.17567,0.24934,0.52158,1.25106,0.02195875,0.01558375,0.016299375,0.0195478125
Boltyn,-0.21668421052631578,1.139,10716,13935,28601,65988,0.10716,0.13935,0.28601,0.65988,0.013395,0.008709375,0.0089378125,0.010310625
